,Confidence,Support,Lift
"('age - [0-10)', 'insulin - Steady')=>('readmitted - NO',)",0.845360824742,0.00329529014628,1.45931035469
"('age - [0-10)', 'insulin - Steady', 'gender - Female')=>('readmitted - NO',)",0.849056603774,0.00180839093393,1.46569022049
"('age - [0-10)', 'insulin - Steady', 'gender - Female', 'race - Caucasian')=>('readmitted - NO',)",0.851063829787,0.00160745860794,1.46915520919
"('age - [0-10)', 'insulin - Steady', 'race - Caucasian')=>('readmitted - NO',)",0.853658536585,0.0028130525639,1.47363434092
"('age - [10-20)', 'insulin - Down')=>('readmitted - NO',)",0.6375,0.00204950972512,1.10048907388
"('age - [10-20)', 'race - Caucasian', 'insulin - Down')=>('readmitted - NO',)",0.592592592593,0.00128596688635,1.02296733084
"('age - [20-30)', 'insulin - Down')=>('readmitted - NO',)",0.618090452261,0.00494293521942,1.06698319903
"('age - [20-30)', 'insulin - Steady')=>('readmitted - NO',)",0.69696969697,0.00831859829609,1.20314907661
"('age - [20-30)', 'insulin - Steady', 'gender - Female')=>('readmitted - NO',)",0.673575129534,0.00522424047581,1.16276403214
"('age - [20-30)', 'insulin - Steady', 'gender - Female', 'race - AfricanAmerican')=>('readmitted - NO',)",0.693333333333,0.00208969619032,1.19687177708
"('age - [20-30)', 'insulin - Steady', 'gender - Female', 'race - Caucasian')=>('readmitted - NO',)",0.643564356436,0.0026121202379,1.11095771388
"('age - [20-30)', 'insulin - Steady', 'race - AfricanAmerican')=>('readmitted - NO',)",0.70297029703,0.0028532390291,1.2135076567
"('age - [20-30)', 'insulin - Steady', 'race - Caucasian')=>('readmitted - NO',)",0.678787878788,0.00450088410223,1.17176257896
"('age - [20-30)', 'insulin - Up')=>('readmitted - NO',)",0.651933701657,0.00474200289343,1.12540535776
"('age - [20-30)', 'insulin - Up', 'gender - Female')=>('readmitted - NO',)",0.60824742268,0.00237100144671,1.04999159667
"('age - [20-30)', 'insulin - Up', 'gender - Female', 'race - AfricanAmerican')=>('readmitted - NO',)",0.756756756757,0.00112522102556,1.30635692925
"('age - [20-30)', 'insulin - Up', 'race - AfricanAmerican')=>('readmitted - NO',)",0.761194029851,0.00204950972512,1.31401680463
"('age - [20-30)', 'insulin - Up', 'race - Caucasian')=>('readmitted - NO',)",0.606060606061,0.00241118791191,1.04621658836
"('age - [20-30)', 'race - AfricanAmerican', 'insulin - Down')=>('readmitted - NO',)",0.596774193548,0.00148689921235,1.03018585031
"('age - [20-30)', 'race - Caucasian', 'insulin - Down')=>('readmitted - NO',)",0.606837606838,0.0028532390291,1.04755789168
"('age - [30-40)', 'gender - Female', 'insulin - Down')=>('readmitted - NO',)",0.630872483221,0.00377752772866,1.08904827419
"('age - [30-40)', 'gender - Female', 'race - AfricanAmerican', 'insulin - Down')=>('readmitted - NO',)",0.630769230769,0.00164764507314,1.08887003389
"('age - [30-40)', 'gender - Female', 'race - Caucasian', 'insulin - Down')=>('readmitted - NO',)",0.630136986301,0.00184857739913,1.08777861721
"('age - [30-40)', 'gender - Female', 'rosiglitazone - Steady')=>('readmitted - NO',)",0.68085106383,0.00128596688635,1.17532416735
"('age - [30-40)', 'glipizide - Steady')=>('readmitted - NO',)",0.635714285714,0.00357659540267,1.09740647143
"('age - [30-40)', 'glipizide - Steady', 'gender - Female')=>('readmitted - NO',)",0.614285714286,0.00172801800354,1.06041524206
"('age - [30-40)', 'glipizide - Steady', 'race - AfricanAmerican')=>('readmitted - NO',)",0.6875,0.00176820446873,1.18680194242
"('age - [30-40)', 'glipizide - Steady', 'race - Caucasian')=>('readmitted - NO',)",0.606557377049,0.00148689921235,1.04707414294
"('age - [30-40)', 'glyburide - Steady')=>('readmitted - NO',)",0.782608695652,0.00289342549429,1.35098402932
"('age - [30-40)', 'glyburide - Steady', 'gender - Female')=>('readmitted - NO',)",0.860465116279,0.00148689921235,1.48538424929
"('age - [30-40)', 'glyburide - Steady', 'insulin - Steady')=>('readmitted - NO',)",0.866666666667,0.00104484809516,1.49608972136
"('age - [30-40)', 'glyburide - Steady', 'race - AfricanAmerican')=>('readmitted - NO',)",0.775,0.00124578042115,1.33784946237
